field_name,data_type,required,description
id,text,true,snake_path definition id
type,choice,true,project_definition or product_definition
name,text,true,human readable definition name
version,text,true,semantic version string
status,choice,true,lifecycle status
runtime,choice,true,approved runtime name
feature_flags,list,false,feature flag records or names
config,json,false,definition-level config values
dependencies,list,false,dependency records
policies,list,false,policy records or names
schemas,list,false,schema records
patterns,list,false,pattern records
shapes,list,false,shape records
defaults,json,false,default values owned by definition
metadata,json,false,provenance and audit fields
