Company Name,Symbol,% Funding provided under Pay Later (MTF)
"360 ONE WAM LIMITED","360ONE","60"
"3M INDIA LIMITED","3MINDIA","60"
"AADHAR HOUSING FINANCE L","AADHARHFC","55"
"AARTI DRUGS LTD.","AARTIDRUGS","60"
"AARTI INDUSTRIES LTD","AARTIIND","65"
"AARTI PHARMALABS LIMITED","AARTIPHARM","60"
"AAVAS FINANCIERS LIMITED","AAVAS","60"
"ABB INDIA LIMITED","ABB","65"
"ABBOTT INDIA LIMITED","ABBOTINDIA","70"
"ADITYA BIRLA CAPITAL LTD.","ABCAPITAL","65"
"ALLIED BLEND N DISTILS L","ABDL","60"
"ADITYA BIRLA FASHION & RT","ABFRL","65"
"ADITYA BIRLA REAL EST LTD","ABREL","60"
"ADIT BIRL SUN LIF AMC LTD","ABSLAMC","65"
"BIRLASLAMC - ABSLBANETF","ABSLBANETF","70"
"BIRLASLAMC - ABSLLIQUID","ABSLLIQUID","0"
"ACC LIMITED","ACC","60"
"ACCELYA SOLN INDIA LTD","ACCELYA","50"
"ACTION CONST EQUIP LTD","ACE","55"
"ARCHEAN CHEMICAL IND LTD","ACI","65"
"ALLCARGO GATI LIMITED","ACLGATI","55"
"ACME SOLAR HOLDINGS LTD","ACMESOLAR","60"
"ACUTAAS CHEMICALS LIMITED","ACUTAAS","60"
"ADANI ENTERPRISES LIMITED","ADANIENT","50"
"ADANI PORT & SEZ LTD","ADANIPORTS","50"
"ADANI POWER LTD","ADANIPOWER","50"
"ADF FOODS LIMITED","ADFFOODS","55"
"ADVANCED ENZYME TECH LTD","ADVENZYMES","55"
"AEGIS LOGISTICS LIMITED","AEGISLOG","50"
"AEROFLEX INDUSTRIES LTD","AEROFLEX","50"
"AETHER INDUSTRIES LIMITED","AETHER","60"
"AFCONS INFRASTRUCTURE LTD","AFCONS","55"
"AFFLE 3I LIMITED","AFFLE","65"
"AGARWAL INDS CORP LTD.","AGARIND","50"
"DR AGARWALS HEALTH CARE L","AGARWALEYE","50"
"AGI GREENPAC LIMITED","AGI","55"
"AGI INFRA LIMITED","AGIIL","50"
"AHLUWALIA CONT IND LTD","AHLUCONT","55"
"AIA ENGINEERING LIMITED","AIAENG","70"
"AUTHUM INVEST & INFRA LTD","AIIL","50"
"AJANTA PHARMA LIMITED","AJANTPHARM","65"
"AJAX ENGINEERING LIMITED","AJAXENGG","50"
"AJMERA REALTY & INF I LTD","AJMERA","50"
"AKUMS DRUGS AND PHARMA L","AKUMS","50"
"AKZO NOBEL INDIA LIMITED","AKZOINDIA","55"
"ALEMBIC LIMITED","ALEMBICLTD","55"
"ALIVUS LIFE SCIENCES LTD","ALIVUS","60"
"ALKEM LABORATORIES LTD.","ALKEM","70"
"ALKYL AMINES CHEM. LTD","ALKYLAMINE","60"
"ALLCARGO LOGISTICS LTD","ALLCARGO","60"
"ALOK INDUSTRIES LIMITED","ALOKINDS","55"
"MIRAEAMC - ALPHAETF","ALPHAETF","70"
"ICICIPRAMC - ICICIALPLV","ALPL30IETF","70"
"AMBER ENTERPRISES (I) LTD","AMBER","55"
"AMBUJA CEMENTS LTD","AMBUJACEM","60"
"AMRUTAJAN HEALTH LTD","AMRUTANJAN","60"
"ANAND RATHI WEALTH LTD","ANANDRATHI","65"
"ANANT RAJ LIMITED","ANANTRAJ","50"
"ANDHRA PAPER LIMITED","ANDHRAPAP","50"
"ANDHRA SUGARS LTD","ANDHRSUGAR","55"
"ANGEL ONE LIMITED","ANGELONE","55"
"THE ANUP ENGINEERING LTD","ANUP","35"
"ANUPAM RASAYAN INDIA LTD","ANURAS","65"
"APAR INDUSTRIES LTD.","APARINDS","55"
"APCOTEX INDUSTRIES LIMITE","APCOTEXIND","55"
"APEX FROZEN FOODS LIMITED","APEX","50"
"APL APOLLO TUBES LTD","APLAPOLLO","65"
"ALEMBIC PHARMA LTD","APLLTD","60"
"APOLLO MICRO SYSTEMS LTD","APOLLO","0"
"APOLLO HOSPITALS ENTER. L","APOLLOHOSP","70"
"APOLLO PIPES LIMITED","APOLLOPIPE","60"
"APOLLO TYRES LTD","APOLLOTYRE","70"
"APTUS VALUE HSG FIN I LTD","APTUS","65"
"AMARA RAJA ENERGY MOB LTD","ARE&M","60"
"ARKADE DEVELOPERS LIMITED","ARKADE","60"
"ARMAN FIN SERV LTD","ARMANFIN","50"
"ARVIND LIMITED","ARVIND","55"
"ARVIND FASHIONS LIMITED","ARVINDFASN","60"
"ARVIND SMARTSPACES LTD","ARVSMART","40"
"ASAHI INDIA GLASS LIMITED","ASAHIINDIA","60"
"ASSO ALCOHOLS & BREW LTD","ASALCBR","0"
"ASHIANA HOUSING LTD","ASHIANA","50"
"ASHOKA BUILDCON LTD","ASHOKA","60"
